,0
1548,78315
1549,78365
1550,78415
1551,78465
1552,78515
1553,78577
1554,78627
1555,78677
1556,78727
1557,78778
1558,78828
1559,78887
1560,78937
1561,78987
1562,79037
1563,79087
1564,79137
1565,79194
1566,79247
1567,79303
1568,79353
1569,79403
1570,79453
1571,79503
1572,79553
1573,79603
1574,79653
1575,79710
1576,79760
1577,79810
1578,79860
1579,79910
1580,79960
1581,80010
1582,80060
1583,80110
1584,80160
1585,80210
1586,80260
1587,80325
1588,80389
1589,80449
1590,80499
1591,80549
1592,80613
1593,80663
1594,80713
1595,80763
1596,80815
1597,80865
1598,80915
1599,80977
1600,81027
1601,81077
1602,81127
1603,81177
1604,81227
1605,81277
1606,81327
1607,81377
1608,81427
1609,81477
1610,81538
1611,81588
1612,81647
1613,81697
1614,81750
1615,81800
1616,81850
1617,81900
1618,81956
1619,82008
1620,82058
1621,82108
1622,82158
1623,82208
1624,82258
1625,82321
1626,82377
1627,82427
1628,82477
1629,82528
1630,82578
1631,82638
1632,82697
1633,82748
1634,82798
1635,82848
1636,82900
1637,82959
1638,83010
1639,83060
1640,83110
1641,83160
1642,83210
1643,83260
1644,83310
1645,83361
1646,83413
1647,83463
1648,83513
1649,83563
1650,83613
1651,83670
1652,83729
1653,83779
1654,83879
1655,83929
1656,83982
1657,84032
1658,84083
1659,84133
1660,84183
1661,84233
1662,84283
1663,84333
1664,84383
1665,84433
1666,84483
1667,84539
1668,84593
1669,84652
1670,84713
1671,84763
1672,84813
1673,84863
1674,84913
1675,84963
1676,85013
1677,85063
1678,85113
1679,85163
1680,85213
1681,85263
1682,85316
1683,85366
1684,85429
1685,85480
1686,85530
1687,85580
1688,85632
1689,85682
1690,85732
1691,85782
1692,85847
1693,85897
1694,85947
1695,85997
1696,86047
1697,86097
1698,86148
1699,86250
1700,86300
1701,86350
1702,86404
1703,86460
1704,86510
1705,86560
1706,86610
1707,86660
1708,86710
1709,86760
1710,86822
1711,86885
1712,86935
1713,86987
1714,87037
1715,87087
1716,87137
1717,87187
1718,87273
1719,87323
1720,87380
1721,87442
1722,87512
1723,87562
1724,87627
1725,87677
1726,87727
1727,87790
1728,87840
1729,87899
1730,87960
1731,88011
1732,88061
1733,88111
1734,88170
1735,88228
1736,88283
1737,88333
1738,88383
1739,88434
1740,88484
1741,88534
1742,88584
1743,88634
1744,88685
1745,88741
1746,88794
1747,88844
1748,88894
1749,88944
1750,88994
1751,89044
1752,89094
1753,89144
1754,89194
1755,89253
1756,89303
1757,89358
1758,89420
1759,89470
1760,89522
1761,89582
1762,89632
1763,89682
1764,89732
1765,89782
1766,89832
1767,89882
1768,89932
1769,89997
1770,90052
1771,90105
1772,90155
1773,90205
1774,90255
1775,90305
1776,90355
1777,90405
1778,90455
1779,90517
1780,90568
1781,90618
1782,90668
1783,90718
1784,90768
1785,90818
1786,90868
1787,90918
1788,90973
1789,91035
1790,91085
1791,91138
1792,91190
1793,91240
1794,91290
1795,91345
1796,91395
1797,91445
1798,91495
1799,91545
1800,91595
1801,91658
1802,91708
1803,91767
1804,91817
1805,91871
1806,91921
1807,91971
1808,92021
1809,92085
1810,92149
1811,92210
1812,92260
1813,92312
1814,92362
1815,92412
1816,92462
1817,92518
1818,92568
1819,92632
1820,92682
1821,92732
1822,92818
1823,92904
1824,92954
1825,93006
1826,93066
1827,93116
1828,93166
1829,93226
1830,93276
1831,93326
1832,93376
1833,93426
1834,93476
1835,93526
1836,93576
1837,93626
1838,93676
1839,93726
1840,93776
1841,93826
1842,93877
1843,93927
1844,93977
1845,94027
1846,94077
1847,94127
1848,94187
1849,94237
1850,94301
1851,94351
1852,94403
1853,94453
1854,94503
1855,94553
1856,94603
1857,94653
1858,94703
1859,94763
1860,94813
1861,94867
1862,94924
1863,94975
1864,95025
1865,95081
1866,95145
1867,95209
